Subject,Board,Tier,Topic,Subtopic,Difficulty,ID,Question,Answer,Notes
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_14,How many nanometres are in a micrometre? (1),1000 nm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_15,What is the function of the nucleus? (1),It controls all cell activities,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_16,What does the nucleus contain?,DNA,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_17,What is the average size of a nucleus? (1),Around 10 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_18,What is the purpose of the cytoplasm? (2),(1) To support the internal cell structure and (2) be where chemical reactions take place,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_19,What is the average size of mitochondria? (1),Around 1–2 μm,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_20,What is the purpose of ribosomes? (1),"Protein synthesis happens in the ribosomes, so it is where proteins are made.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_21,What is the purpose of the cell wall? (2),(1) To strengthen and (2) support the cell,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_22,What is the cell wall made of? (1),Cellulose,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_23,What is a DNA loop? (1),A circular strand of DNA,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_24,What is a plasmid? (1),Small circular rings of DNA,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_25,What is a flagellum? (2),(1) A long strand of protein (2) that acts as a tail for movement,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_26,When would you use estimations in calculations? (1),To check whether a calculated answer is reasonable / correct,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_27,What is a specimen? (1),It is the object that you want to look at under a microscope,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_28,What is a slide? (1),A slide is a strip of clear glass or plastic which you put the specimen on,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_29,What is a cover slip? (2),"(1) It is a square of thin, transparent plastic or glass (2) placed on a specimen to keep it from moving",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_30,What is the purpose of iodine solution in microscopy? (1),To stain the specimen so you can see the structures better,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_31,Why must the cover slip be lowered carefully? (2),"(1) Because if you get air bubbles underneath, (2) it will obstruct your view",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_32,What is the purpose of the cell membrane? (2),"(1) To hold the cell together
(2) To control the movement of substances in and out of the cell",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_33,What is the permanent vacuole? (2),"(1) It is a space in the cytoplasm filled with cell sap.
(2) It keeps the cells rigid to support the plant.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_34,"If a cell is 20μm long and approximately 10 nuclei can fit lengthways. 
What is the approximate size of the nucleus? (2)","20μm ÷ 10 = 2μm
So the nucleus is approximately 2μm in length.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_35,What does “order of magnitude” mean? (2),"(1) It is how much bigger one thing is compared to another.
(2) It is shown in powers of 10.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_36,"When writing numbers in standard form, what is the format? (2)","(1) a × 10ⁿ 
(2) where 1 ≤ a < 10 and n must be a whole number",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_37,"If a small animal cell is around 10μm and a large plant cell is around 100μm. 
How many orders of magnitudes bigger is the large plant cell than the small animal cell? (1)","The large plant cell is 10x bigger so it is one order of magnitude bigger, or 10¹ bigger.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_38,Why do prokaryotic cells have plasmids? (1),For specific features like antibiotic resistance,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_39,What is cell sap? (1),A solution of sugars and salts,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_1,What is the cytoplasm? (3),(1) A liquid gel of nutrients and salts (2) which supports internal cell structures where (3) many chemical reactions happen.,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_2,Name four structures found in all eukaryotic cells. (4),"(1) Cell membrane
(2) Cytoplasm
(3) Nucleus
(4) Ribosomes",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_3,How many orders of magnitude bigger is a small animal cell compared to a virus? (4),"(1) A small animal cell is approximately 10μm.
(2) A virus is approximately 100nm = 0.1μm.
(3) So a small animal cell is 100x bigger than a virus
(4) which is two orders of magnitudes bigger or 10² bigger.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_4,What is the purpose of mitochondria? (3),(1) It is the site of aerobic respiration (2) so it releases energy (3) for cell activities,
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_5,What are chloroplasts? (3),"(1) Chloroplasts contain chlorophyll.
(2) Chlorophyll is green (it's what makes plants green)
(3) Chlorophyll absorbs sunlight so the plant can photosynthesise to make food.",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_6,How could you use the size of cells to estimate the size of a subcellular structure? (4),"(1) Compare how many times the structure fits into the cell
(2) Use the known size of the cell
(3) Divide the cell size by the number of structures
(4) This gives an approximate size of the structure",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_7,What do all cells have? (4),"(1) Cell membrane
(2) Cytoplasm
(3) DNA
(4) Ribosomes",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Hard (5-6 marks),b_a_h_1_11_h_1,Describe how to draw a scientific diagram from a microscope observation? (7),"(1) Drawing should be large (at least half the space)
(2) Use clear, continuous lines
(3) Do not shade or colour
(4) Keep structures in proportion
(5) Include a title
(6) Include magnification
(7) Label using straight, uncrossed lines",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Hard (5-6 marks),b_a_h_1_11_h_2,Name five structures found in all prokaryotic cells. (5),"(1) Cell wall
(2) Cell membrane
(3) Cytoplasm
(4) Circular DNA (DNA loop)
(5) Ribosomes",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Hard (5-6 marks),b_a_h_1_11_h_3,Describe how to prepare a slide to observe onion cells? (6),"(1) Add a drop of water to the middle of a clean slide
(2) Cut up an onion and separate it out into layers
(3) Use tweezers to peel off some epidermal tissue (thin skin) from the bottom of one of the layers
(4) Add a drop of iodine solution
(5) Place a cover slip on top
(6) (Stand the cover slip upright on the side, and lower it slowly to avoid getting any air bubbles underneath)",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Hard (5-6 marks),b_a_h_1_11_h_4,Describe how to use a light microscope to observe a specimen? (6),"(1) Clip the slide to the stage of the microscope.
(2) Select the lowest-powered objective lens (lowest magnification) 
(3) Use the coarse adjustment knob to move the stage up to just below the objective lens 
(4) Look down the eyepiece. Use the coarse adjustment knob to move the stage down until the image is in focus 
(5) Adjust the focus with the fine adjustment knob until the image is clear 
(6) If you need greater magnification, use a higher-powered objective lens and refocus",
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Hard (5-6 marks),b_a_h_1_11_h_5,What do most animal cells have? (5),"(1) Nucleus
(2) Cytoplasm
(3) Cell membrane
(4) Mitochondria
(5) Ribosomes",
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_1,What is blood? ,"(1) It is a liquid composed of plasma (55%) 
(2) and red blood cells (45%)
(3) plus white blood cells
(4) platelets,
(5) and other dissolved substances transported around the body.",4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_1,What colour is blood plasma?,(1) Yellow,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_2,What are platelets?,(1) Small fragments of cells (2) that start the clotting process when wounded,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_2,Describe how platelets work.,"(1) When you wound yourself, enzymes convert fibrinogen into fibrin. 
(2) The fibrin forms a network of protein fibres. 
(3) These capture lots of red blood cells and platelets to form a jelly-like clot. 
(4) The clot stops you from bleeding. 
(5) The clot dries and hardens and becomes a scab. 
(6) This protects the new skin as it grows and stops bacteria from entering the body.",4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_3,Where and how is urea formed?,(1) Urea is formed in the liver (2) from the breakdown of excess proteins.,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_4,Where is urea carried in the blood?,(1) It is carried to your kidneys (2) where it is removed from your blood to form urine.,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_3,How are red blood cells adapted for their function?,"(1) They have no nucleus, (2) making more space for haemoglobin. (3) They are biconcave discs (4) which increase surface area to volume ratio. (5) They have haemoglobin (6) that binds to oxygen.",4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_1,What are the two types of white blood cells?,(1) Lymphocytes: (2) they form antibodies against microorganisms. (3) Phagocytes: (4) they engulf and digest invading bacteria and viruses.,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_5,Are white blood cells or red blood cells bigger?,(1) White blood cells are bigger,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_6,Are there more white blood cells or red blood cells in the body?,(1) There are more red blood cells,4.2.2.1
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_2,What are the three main types of blood vessels?,"(1) Arteries, (2) veins, (3) capillaries",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_7,What is the smallest blood vessel in your circulatory system?,(1) Capillaries,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_8,How close are capillaries to your body cells?,(1) They are always within 0.05mm,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_9,What is the purpose of your arteries?,(1) To carry blood away from your heart (2) to the organs of your body.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_3,How are arteries adapted for their function?,(1) Thick walls (2) containing muscle and elastic fibres (3) to withstand the pressure of the blood. (4) Strong and elastic walls to allow blood through them.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_10,What colour is the blood in your arteries?,(1) Bright-red,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_11,"When you feel your heartbeat, what are you feeling?",(1) The pressure of your blood (2) passing through your arteries,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_12,What is the purpose of your veins?,(1) To carry blood away from the organs (2) towards your heart,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_4,How are veins adapted for their function?,"(1) Valves (2) to prevent backflow of blood. (3) When blood flows backwards, the valves close.",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_5,How do valves work?,"(1) When the blood flows backwards, (2) the muscles around the veins contract (3) and one set of valves close (4) to push the blood in the correct direction.",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_13,Do veins also have thick walls?,"(1) No, (2) they have thin walls.",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_14,Do veins have a pulse?,"(1) No, (2) there is not a significant amount of pressure.",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_15,What colour is the blood in your veins?,(1) Purple-red (2) because it is low in oxygen,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_6,What are capillaries?,(1) Tiny blood vessels (2) that form a huge network (3) to link the arteries and veins.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_7,How are capillaries adapted for their function?,(1) One cell thick (2) for shorter diffusion distance. (3) Permeable walls (4) for diffusion.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_16,What is a lumen?,(1) The hole (2) in the middle of a blood vessel,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_8,Describe the circulatory system of a human.,(1) It has a double circulatory system: (2) One carries blood from your heart to your organs and body. (3) One carries blood from your heart to your lungs and back.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_17,Which mammals have double circulatory systems?,"(1) Warm-blooded, (2) active animals.",4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_18,What is the difference between the pulmonary circulation and the systemic circulation?,(1) The pulmonary circulation involves the lungs. (2) The systemic circulation involves the rest of your body.,4.2.2.2
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_19,What is the purpose of coronary arteries?,(1) To deliver blood (2) to the heart muscle,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_20,How many chambers are in the heart?,(1) 4,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_21,"When one side of the heart is filled with blood, is there blood on the other side at the same time?","(1) Yes, (2) the heart empties and fills simultaneously.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_22,How does blood get from the atria to the ventricles?,(1) The atria contract (2) to force the blood down.,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_23,When do the valves close in the heart?,(1) When blood is pumped out of the heart (2) via the pulmonary artery or aorta.,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_24,"When you hear your heartbeat through a stethoscope, what are you listening to?",(1) The valves closing,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_9,Which side of the heart is thicker?,(1) The left side (2) because it needs to develop enough pressure (3) to force the blood through the body.,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_10,"If the right side of the heart were thick as well, would this be okay?","(1) No, (2) because the high pressure would damage the capillary network (3) where gas exchange takes place.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_11,What happens to your coronary arteries when you have coronary heart disease?,(1) They become narrow (2) due to the buildup of fatty material (3) on the lining of the vessels,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_4,Why is coronary heart disease a problem?,"(1) The reduced blood flow 
(2) means less oxygen is supplied to your heart 
(3) which can lead to pain, (4) a heart attack, (5) or even death.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_5,What are some methods of preventing coronary heart disease?,"(1) Stent: a metal mesh placed in the artery. 
(2) A tiny balloon opens up the stent and artery before being removed. The stent stays in place. 

(4) Statins: reduces blood cholesterol levels 
(5) and slows down the rate of fatty material deposition. 

(6) Bypass surgery: replace blocked coronary arteries with veins from other parts of the body.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_25,Do you need a general anaesthetic to put in a stent?,(1) No,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_26,Can stents be used with any other arteries in the body?,(1) Yes,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_12,What is a leaky valve?,"(1) When heart valves leak (2) or don't fully open anymore (become stiff), (3) it makes the heart less efficient.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_27,Why are leaky valves a problem?,(1) You can become breathless (2) and potentially die if not treated.,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_13,How do we fix leaky valves?,"(1) Replace with mechanical valves (2) made of titanium or polymers. 
(3) Replace with biological valves (4) from animals such as pigs, cattle or humans.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_14,What are the pros and cons of mechanical valves vs biological valves?,"(1) Mechanical: require medicine for life to prevent blood clots. 
(2) Mechanical: durable and last a long time. 
(3) Biological: work better and no blood thinners needed. 
(4) Biological: only last 12-15 years.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_15,What is your natural pacemaker?,"(1) A group of cells 
(2) in the right atrium 
(3) that control the resting heart rate.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_28,Why is an irregular heart rhythm an issue?,"(1) If too slow, you're not getting enough oxygen. 
(2) If too fast, it cannot pump blood properly.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_16,What is an artificial pacemaker?,"(1) Electrical devices (2) used to correct irregularities in the heart rhythm. 
(3) It is implanted into your chest.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_17,How do artificial pacemakers work?,"(1) They are attached to your heart by two wires. 
(2) They send strong, regular electrical signals (3) that stimulate it to beat.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Easy (1-2 marks),b_a_h_2_22_e_29,What are the cons of an artificial pacemaker?,(1) You will need regular check-ups,4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_18,"If your heart is failing, what can be done to fix this?","(1) Wait for a donor heart that is a tissue match and get a heart transplant. 
(2) Get an artificial heart to keep you alive while waiting for a transplant 
(3) or give your heart time to rest and recover.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_19,Pros and cons of heart transplant vs artificial heart?,"(1) Heart transplants not always available. 
(2) Artificial heart expensive. 
(3) Artificial heart risk of blood clotting.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_20,Describe the structure of an artery in detail.,"(1) Thick walls
(2) Small lumen
(3) Thick layer of muscle
(4) Elastic fibres in the wall",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_21,Describe the structure of a vein in detail.,"(1) Large lumen
(2) Relatively thin walls
(3) Often contain valves",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Medium (3-4 marks),b_a_h_2_22_m_22,Describe the structure of a capillary in detail.,"(1) Very small / tiny blood vessel
(2) Narrow lumen
(3) Wall is one cell thick",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_6,Describe how oxygenated blood passes through the heart (6),"(1) Blood is oxygenated in the lungs
(2) Then enters the heart via the pulmonary veins
(3) Left atrium
(4) Left ventricle
(5) Leaves the heart via the aorta
(6) and is delivered to body tissues.",4.2.2.3
Biology,AQA,Triple - Higher,2. Organisation,"2.2 Animal tissues, organs and organ systems",Hard (5-6 marks),b_a_h_2_22_h_7,Describe how deoxygenated blood passes through the heart (6),"(1) Deoxygenated blood leaves body tissues
(2) Enters the heart via the vena cava
(3) Right atrium
(4) Right ventricle
(5) Leaves the heart via the pulmonary arteries
(6) Enters the lungs to be oxygenated.",4.2.2.3
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_8,How are nerve cells adapted for their function?,(1) Dendrites (branched connections) for connecting to other nerve cells (2) Axons to carry the nerve impulse (3) Nerve endings/synapses to pass impulses (4) Lots of mitochondria for energy,4.1.1.3
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_40,How far does the longest nerve cell run?,(1) From the bottom of the spine (2) to the big toe,4.1.1.3
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_41,What are the two types of muscle cells?,(1) Striated (striped) muscle cells (2) and unstriated (smooth) muscle cells,4.1.1.3
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Easy (1-2 marks),b_a_h_1_11_e_42,What is the difference between the two types of muscle cells?,(1) Striated (striped) muscle cells are used for movement (2) Unstriated (smooth) muscle cells are used for digestion,4.1.1.3
Biology,AQA,Triple - Higher,1. Cell Biology,1.1 Cell Structure,Medium (3-4 marks),b_a_h_1_11_m_9,How are muscle cells used for movement?,(1) Striated muscle cells form tissues called muscles (2) that work in pairs (3) to move bones of the skeleton,4.1.1.3
